uniq_id,description,category,_len_description,text,_len__text
55b85ea15a1536d46b7190ad6fff8ce7,"Key Features of Elegance Polyester Multicolor Abstract Eyelet Door Curtain Floral Curtain,Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) Price: Rs. 899 This curtain enhances the look of the interiors.This curtain is made from 100% high quality polyester fabric.It features an eyelet style stitch with Metal Ring.It makes the room environment romantic and loving.This curtain is ant- wrinkle and anti shrinkage and have elegant apparance.Give your home a bright and modernistic appeal with these designs. The surreal attention is sure to steal hearts. These contemporary eyelet and valance curtains slide smoothly so when you draw them apart first thing in the morning to welcome the bright sun rays you want to wish good morning to the whole world and when you draw them close in the evening, you create the most special moments of joyous beauty given by the soothing prints. Bring home the elegant curtain that softly filters light in your room so that you get the right amount of sunlight.,Specifications of Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) General Brand Elegance Designed For Door Type Eyelet Model Name Abstract Polyester Door Curtain Set Of 2 Model ID Duster25 Color Multicolor Dimensions Length 213 cm In the Box Number of Contents in Sales Package Pack of 2 Sales Package 2 Curtains Body & Design Material Polyester",Home Furnishing ,1420,"key elegance polyester multicolor abstract eyelet door curtain floral curtain elegance polyester multicolor abstract eyelet door curtain 213 height pack price 899 curtain enhance look interior curtain 100 high quality polyester fabric eyelet style stitch metal ring make room environment romantic loving curtain ant- wrinkle anti shrinkage apparance home bright modernistic appeal design surreal attention steal heart contemporary eyelet valance curtain slide smoothly draw apart thing morning welcome bright sun ray want wish good morning world draw close evening create special moment joyous beauty give soothe print bring home curtain softly filter light room right sunlight ,specification elegance polyester multicolor abstract eyelet door curtain 213 height pack general brand elegance design door type eyelet model abstract polyester door curtain set model duster25 color multicolor dimension length 213 box number content sale package pack sale package curtain body design material polyester",998
7b72c92c2f6c40268628ec5f14c6d590,"Specifications of Sathiyas Cotton Bath Towel (3 Bath Towel, Red, Yellow, Blue) Bath Towel Features Machine Washable Yes Material Cotton Design Self Design General Brand Sathiyas Type Bath Towel GSM 500 Model Name Sathiyas cotton bath towel Ideal For Men, Women, Boys, Girls Model ID asvtwl322 Color Red, Yellow, Blue Size Mediam Dimensions Length 30 inch Width 60 inch In the Box Number of Contents in Sales Package 3 Sales Package 3 Bath Towel",Baby Care ,444,specification sathiyas cotton bath towel bath towel red yellow blue bath towel washable yes material cotton design self design general brand sathiyas type bath towel gsm 500 model sathiyas cotton bath towel ideal men women boys girl model asvtwl322 color red yellow blue size mediam dimension length inch width inch box number content sale package sale package bath towel,371
64d5d4a258243731dc7bbb1eef49ad74,"Key Features of Eurospa Cotton Terry Face Towel Set Size: small Height: 9 inch GSM: 360,Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Price: Rs. 299 Eurospa brings to you an exclusively designed, 100% soft cotton towels of export quality. All our products have soft texture that takes care of your skin and gives you that enriched feeling you deserve. Eurospa has been exporting its bath towels to lot of renowned brands for last 10 years and is famous for its fine prints, absorbency, softness and durability. NOTE: Our product is 100% cotton, so it is susceptible to shrinkage. Product color may vary from the picture. Size may vary by ±3% WASH CARE: Wash in cold Water, Do not Iron, Do not Bleach, Flat dry, Wash before first use. SIZE- FACE TOWEL - 23 cms X 23 cms.,Specifications of Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Bath Towel Features Material Cotton Terry Design SHUVAM General Brand Eurospa GSM 360 Type Face Towel Set Model Name SHUVAM20PCFTSETASSORTED Ideal For Boys, Girls, Men, Women Model ID SHUVAM20PCFTSETASSORTED Size small Color Assorted Dimensions Weight 350 g Length 9 inch Width 9 inch In the Box Number of Contents in Sales Package 20 Sales Package 20 PIECE FACE TOWEL SET",Baby Care ,1258,"key eurospa cotton terry towel set size small height inch gsm 360,eurospa cotton terry towel set piece towel set assort price 299 eurospa bring exclusively design 100 soft cotton towel export quality product soft texture take care skin give enriched feeling deserve eurospa export bath towel lot renowned brand year famous print absorbency softness durability note product 100 cotton susceptible shrinkage product color vary picture size vary wash care wash cold water iron bleach flat dry wash use size- towel cm cm ,specification eurospa cotton terry towel set piece towel set assort bath towel material cotton terry design shuvam general brand eurospa gsm 360 type towel set model shuvam20pcftsetassorted ideal boy girl man woman model shuvam20pcftsetassorted size small color assort dimension weight 350 length inch width inch box number content sale package sale package piece towel set",891
d4684dcdc759dd9cdf41504698d737d8,"Key Features of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet Royal Bedsheet Perfact for Wedding & Gifting,Specifications of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet (1 Bedsheet,2 Pillow Cover, Multicolor) General Brand SANTOSH ROYAL FASHION Machine Washable Yes Type Flat Material Cotton Model Name Gold Design Royal Cotton Printed Wedding & Gifted Double Bedsheet With 2 Pillow cover Model ID goldbedi-38 Color Multicolor Size King Fabric Care Machine Wash, Do Not Bleach Dimensions Flat Sheet Width 90 inch / 230 cm Fitted Sheet Width 228 cm Pillow Cover Width 16 inch / 43 cm Pillow Cover Length 28 inch / 72 cm Fitted Sheet Depth 280 cm Fitted Sheet Length 278 cm Flat Sheet Depth 282 cm Flat Sheet Length 110 inch / 280 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 Bedsheet,2 Pillow Cover",Home Furnishing ,858,"key santosh royal fashion cotton print king sized double bedsheet royal bedsheet perfact gifting specification santosh royal fashion cotton print king sized double bedsheet bedsheet,2 pillow cover multicolor general brand santosh royal fashion washable yes type flat material cotton model gold design royal cotton print gift double bedsheet pillow cover model goldbedi-38 color multicolor size king fabric care wash bleach dimension flat sheet width inch 230 fit sheet width 228 pillow cover width inch pillow cover length inch fit sheet depth 280 fit sheet length 278 flat sheet depth 282 flat sheet length 110 inch 280 box number content sale package sale package bedsheet,2 pillow cover",689
6325b6870c54cd47be6ebfbffa620ec7,"Key Features of Jaipur Print Cotton Floral King sized Double Bedsheet 100% cotton,Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) Price: Rs. 998 This nice bed sheet made up of 100% cotton to give you comfort. This bed sheet is hand printed. This bedsheet gives nice look to your room And its fast colour and good quality gives this bedsheet long life.,Specifications of Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) General Machine Washable Yes Brand Jaipur Print Type Flat Model Name jaipur117 Material Cotton Thread Count 140 Model ID jaipur117 Fabric Care machinewash, do not bleach Size King Color White Warranty waranty of the product only for manufacturing defect only and product will exchange onle when it is not used and returne its origional packing Dimensions Flat Sheet Width 86 inch / 220 cm Fitted Sheet Width 0 cm Pillow Cover Width 17 inch / 45 cm Pillow Cover Length 29 inch / 75 cm Weight 900 g Fitted Sheet Depth 0 cm Fitted Sheet Length 0 cm Flat Sheet Depth 0.2 cm Flat Sheet Length 104 inch / 265 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 bed sheet 2 pillow cover",Home Furnishing ,1197,"key jaipur print cotton floral king sized double bedsheet 100 cotton jaipur print cotton floral king sized double bedsheet bed sheet pillow cover white price 998 nice bed sheet 100 cotton comfort bed sheet hand print bedsheet give nice look room fast colour good quality give bedsheet long life ,specification jaipur print cotton floral king sized double bedsheet bed sheet pillow cover white general washable yes brand jaipur print type flat model jaipur117 material cotton thread count 140 model jaipur117 fabric care machinewash bleach size king color white warranty waranty product manufacturing defect product exchange onle returne origional packing dimension flat sheet width inch 220 fit sheet width pillow cover width inch pillow cover length inch weight 900 fit sheet depth fit sheet length flat sheet depth 0.2 flat sheet length 104 inch 265 box number content sale package sale package bed sheet pillow cover",919
893aa5ed55f7cff2eccea7758d7a86bd,"Maserati Time R8851116001 Analog Watch  - For Boys - Buy Maserati Time R8851116001 Analog Watch  - For Boys  R8851116001 Online at Rs.24400 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,275,maserati time r8851116001 analog watch boy buy maserati time r8851116001 analog watch boy r8851116001 online rs.24400 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,221
f355cc1ccb08bd0d283ed979b7ee7515,"Camerii WM64 Elegance Analog Watch  - For Men, Boys - Buy Camerii WM64 Elegance Analog Watch  - For Men, Boys  WM64 Online at Rs.449 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,268,camerii wm64 elegance analog watch man boy buy camerii wm64 elegance analog watch man boy wm64 online rs.449 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,212
dd0e3470a7e6ed76fd69c2da27721041,"T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys
                         Price: Rs. 399
				
			Whether you are on your way to work or travelling abroad with family, lifestyle accessories like watches, wallets and belts help to add a touch of sophistication and class to your otherwise mundane and regular daily wear. When it all comes down to it, suave leather belts and intricately designed and finished timepieces are what separate you from the rest.
Whether you are on your way to work or travelling abroad with family, lifestyle accessories like watches, wallets and belts help to add a touch of sophistication and class to your otherwise mundane and regular daily wear. When it all comes down to it, suave leather belts and intricately designed and finished timepieces are what separate you from the rest.",Watches ,817,star uft tsw-005 analog watch boy price 399 way work travel abroad family lifestyle accessory like watch wallet belt help add touch sophistication class mundane regular daily wear come suave leather belt intricately design finish timepiece separate rest way work travel abroad family lifestyle accessory like watch wallet belt help add touch sophistication class mundane regular daily wear come suave leather belt intricately design finish timepiece separate rest,463
41384da51732c0b4df3de8f395714fbb,"Alfajr WY16B Youth Digital Watch  - For Men, Boys - Buy Alfajr WY16B Youth Digital Watch  - For Men, Boys  WY16B Online at Rs.4995 in India Only at Flipkart.com. Azan Times ( For All Cities Around The World ), Prayer Reminders, Qibla Direction, Hijri And Gregorian Calnedars, Qur'An Bookmark, Daily Alrams - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,410,alfajr wy16b youth digital watch man boy buy alfajr wy16b youth digital watch man boy wy16b online rs.4995 india flipkart.com azan times city world prayer reminder qibla direction hijri gregorian calnedars qur'an bookmark daily alrams great discount genuine product day replacement guarantee free shipping cash delivery,319
710ed5f2393a4b9e8823aa0029f71f93,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men - Buy TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men  CAU1116.BA0858 Online at Rs.107750 in India Only at Flipkart.com. Swiss-made, Quartz movement, Scratch resistant, Sapphire crystal glass, Water resistant to 200 metres, Feature Chronograph - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,430,tag heuer cau1116.ba0858 formula analog watch boys man buy tag heuer cau1116.ba0858 formula analog watch boy man cau1116.ba0858 online rs.107750 india flipkart.com swiss quartz movement scratch resistant sapphire crystal glass water resistant 200 metre feature chronograph great discount genuine product day replacement guarantee free shipping cash delivery,357
