uniq_id,description,category,_len_description,lema_desc,stem_desc,_len__lem,_len__stem
55b85ea15a1536d46b7190ad6fff8ce7,"Key Features of Elegance Polyester Multicolor Abstract Eyelet Door Curtain Floral Curtain,Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) Price: Rs. 899 This curtain enhances the look of the interiors.This curtain is made from 100% high quality polyester fabric.It features an eyelet style stitch with Metal Ring.It makes the room environment romantic and loving.This curtain is ant- wrinkle and anti shrinkage and have elegant apparance.Give your home a bright and modernistic appeal with these designs. The surreal attention is sure to steal hearts. These contemporary eyelet and valance curtains slide smoothly so when you draw them apart first thing in the morning to welcome the bright sun rays you want to wish good morning to the whole world and when you draw them close in the evening, you create the most special moments of joyous beauty given by the soothing prints. Bring home the elegant curtain that softly filters light in your room so that you get the right amount of sunlight.,Specifications of Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) General Brand Elegance Designed For Door Type Eyelet Model Name Abstract Polyester Door Curtain Set Of 2 Model ID Duster25 Color Multicolor Dimensions Length 213 cm In the Box Number of Contents in Sales Package Pack of 2 Sales Package 2 Curtains Body & Design Material Polyester",Home Furnishing ,1420,key elegance polyester multicolor abstract curtain floral curtain elegance polyester multicolor abstract curtain 213 height pack price 899 curtain enhance look interior curtain 100 high quality polyester fabric style stitch metal ring make room environment curtain wrinkle anti shrinkage elegant home appeal design attention sure heart contemporary slide smoothly draw apart thing morning welcome sun ray want wish good morning world draw evening create special moment beauty give soothe print bring home elegant curtain filter light room right specification elegance polyester multicolor abstract curtain 213 height pack general brand elegance design type model abstract polyester curtain set model color multicolor dimension length 213 box number content sale package pack sale package body design material polyester,key eleg polyest multicolor abstract curtain floral curtain eleg polyest multicolor abstract curtain 213 height pack price 899 curtain enhanc look interior curtain 100 high qualiti polyest fabric style stitch metal ring make room environ curtain wrinkl anti shrinkag eleg home appeal design attent sure heart contemporari slide smooth draw apart thing morn welcom sun ray want wish good morn world draw even creat special moment beauti given sooth print bring home eleg curtain filter light room right specif eleg polyest multicolor abstract curtain 213 height pack general brand eleg design type model abstract polyest curtain set model color multicolor dimens length 213 box number content sale packag pack sale packag bodi design materi polyest,818,747
7b72c92c2f6c40268628ec5f14c6d590,"Specifications of Sathiyas Cotton Bath Towel (3 Bath Towel, Red, Yellow, Blue) Bath Towel Features Machine Washable Yes Material Cotton Design Self Design General Brand Sathiyas Type Bath Towel GSM 500 Model Name Sathiyas cotton bath towel Ideal For Men, Women, Boys, Girls Model ID asvtwl322 Color Red, Yellow, Blue Size Mediam Dimensions Length 30 inch Width 60 inch In the Box Number of Contents in Sales Package 3 Sales Package 3 Bath Towel",Baby Care ,444,specification sathiyas cotton bath towel bath towel red yellow blue bath towel machine washable yes material cotton design self design general brand sathiyas type bath towel gsm 500 model sathiyas cotton bath towel ideal men women boys girl model color red yellow blue size dimension length inch width inch box number content sale package sale package bath towel,specif sathiya cotton bath towel bath towel red yellow blue bath towel machin washabl yes materi cotton design self design general brand sathiya type bath towel gsm 500 model sathiya cotton bath towel ideal men women boy girl model color red yellow blue size dimens length inch width inch box number content sale packag sale packag bath towel,362,342
64d5d4a258243731dc7bbb1eef49ad74,"Key Features of Eurospa Cotton Terry Face Towel Set Size: small Height: 9 inch GSM: 360,Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Price: Rs. 299 Eurospa brings to you an exclusively designed, 100% soft cotton towels of export quality. All our products have soft texture that takes care of your skin and gives you that enriched feeling you deserve. Eurospa has been exporting its bath towels to lot of renowned brands for last 10 years and is famous for its fine prints, absorbency, softness and durability. NOTE: Our product is 100% cotton, so it is susceptible to shrinkage. Product color may vary from the picture. Size may vary by ±3% WASH CARE: Wash in cold Water, Do not Iron, Do not Bleach, Flat dry, Wash before first use. SIZE- FACE TOWEL - 23 cms X 23 cms.,Specifications of Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Bath Towel Features Material Cotton Terry Design SHUVAM General Brand Eurospa GSM 360 Type Face Towel Set Model Name SHUVAM20PCFTSETASSORTED Ideal For Boys, Girls, Men, Women Model ID SHUVAM20PCFTSETASSORTED Size small Color Assorted Dimensions Weight 350 g Length 9 inch Width 9 inch In the Box Number of Contents in Sales Package 20 Sales Package 20 PIECE FACE TOWEL SET",Baby Care ,1258,key eurospa cotton terry face towel set size small height inch gsm eurospa cotton terry face towel set piece face towel set assort price 299 eurospa bring exclusively design 100 soft cotton towel export quality product soft texture take care skin give deserve eurospa export bath towel lot brand famous fine print absorbency softness durability note product 100 cotton shrinkage product color vary picture size vary wash care wash cold water iron bleach flat dry wash use face towel cm cm specification eurospa cotton terry face towel set piece face towel set assort bath towel material cotton terry design general brand eurospa gsm 360 type face towel set model shuva m20 pcftsetassorted ideal boy girl man woman model shuva m20 pcftsetassorted size small color assort dimension weight 350 length inch width inch box number content sale package sale package piece face towel set,key eurospa cotton terri face towel set size small height inch gsm eurospa cotton terri face towel set piec face towel set assort price 299 eurospa bring exclus design 100 soft cotton towel export qualiti product soft textur take care skin give deserv eurospa export bath towel lot brand famous fine print absorb soft durabl note product 100 cotton shrinkag product color vari pictur size vari wash care wash cold water iron bleach flat dri wash use face towel cms cms specif eurospa cotton terri face towel set piec face towel set assort bath towel materi cotton terri design general brand eurospa gsm 360 type face towel set model shuva m20 pcftsetassort ideal boy girl men women model shuva m20 pcftsetassort size small color assort dimens weight 350 length inch width inch box number content sale packag sale packag piec face towel set,879,839
d4684dcdc759dd9cdf41504698d737d8,"Key Features of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet Royal Bedsheet Perfact for Wedding & Gifting,Specifications of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet (1 Bedsheet,2 Pillow Cover, Multicolor) General Brand SANTOSH ROYAL FASHION Machine Washable Yes Type Flat Material Cotton Model Name Gold Design Royal Cotton Printed Wedding & Gifted Double Bedsheet With 2 Pillow cover Model ID goldbedi-38 Color Multicolor Size King Fabric Care Machine Wash, Do Not Bleach Dimensions Flat Sheet Width 90 inch / 230 cm Fitted Sheet Width 228 cm Pillow Cover Width 16 inch / 43 cm Pillow Cover Length 28 inch / 72 cm Fitted Sheet Depth 280 cm Fitted Sheet Length 278 cm Flat Sheet Depth 282 cm Flat Sheet Length 110 inch / 280 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 Bedsheet,2 Pillow Cover",Home Furnishing ,858,"key santosh royal fashion cotton print king sized double bedsheet royal bedsheet wedding gifting specification santosh royal fashion cotton print king sized double bedsheet bedsheet,2 pillow cover multicolor general brand santosh royal fashion machine washable yes type flat material cotton model gold design royal cotton print wedding gift double bedsheet pillow cover model color multicolor size king fabric care machine wash bleach dimension flat sheet width inch 230 sheet width 228 pillow cover width inch pillow cover length inch sheet depth 280 sheet length flat sheet depth flat sheet length inch 280 box number content sale package sale package bedsheet,2 pillow cover","key santosh royal fashion cotton print king size doubl bedsheet royal bedsheet wed gift specif santosh royal fashion cotton print king size doubl bedsheet bedsheet,2 pillow cover multicolor general brand santosh royal fashion machin washabl yes type flat materi cotton model gold design royal cotton print wed gift doubl bedsheet pillow cover model color multicolor size king fabric care machin wash bleach dimens flat sheet width inch 230 sheet width 228 pillow cover width inch pillow cover length inch sheet depth 280 sheet length flat sheet depth flat sheet length inch 280 box number content sale packag sale packag bedsheet,2 pillow cover",677,644
6325b6870c54cd47be6ebfbffa620ec7,"Key Features of Jaipur Print Cotton Floral King sized Double Bedsheet 100% cotton,Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) Price: Rs. 998 This nice bed sheet made up of 100% cotton to give you comfort. This bed sheet is hand printed. This bedsheet gives nice look to your room And its fast colour and good quality gives this bedsheet long life.,Specifications of Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) General Machine Washable Yes Brand Jaipur Print Type Flat Model Name jaipur117 Material Cotton Thread Count 140 Model ID jaipur117 Fabric Care machinewash, do not bleach Size King Color White Warranty waranty of the product only for manufacturing defect only and product will exchange onle when it is not used and returne its origional packing Dimensions Flat Sheet Width 86 inch / 220 cm Fitted Sheet Width 0 cm Pillow Cover Width 17 inch / 45 cm Pillow Cover Length 29 inch / 75 cm Weight 900 g Fitted Sheet Depth 0 cm Fitted Sheet Length 0 cm Flat Sheet Depth 0.2 cm Flat Sheet Length 104 inch / 265 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 bed sheet 2 pillow cover",Home Furnishing ,1197,key jaipur print cotton floral king sized double bedsheet 100 cotton jaipur print cotton floral king sized double bedsheet bed sheet pillow cover white price nice bed sheet 100 cotton comfort bed sheet hand print bedsheet give nice look room fast colour good quality give bedsheet long life specification jaipur print cotton floral king sized double bedsheet bed sheet pillow cover white general machine washable yes brand jaipur print type flat model jaipur117 material cotton thread count 140 model jaipur117 fabric care bleach size king color white warranty waranty product manufacturing defect product exchange returne origional packing dimension flat sheet width inch 220 sheet width pillow cover width inch pillow cover length inch weight 900 sheet depth sheet length flat sheet depth 0.2 flat sheet length 104 inch box number content sale package sale package bed sheet pillow cover,key jaipur print cotton floral king size doubl bedsheet 100 cotton jaipur print cotton floral king size doubl bedsheet bed sheet pillow cover white price nice bed sheet 100 cotton comfort bed sheet hand print bedsheet give nice look room fast colour good qualiti give bedsheet long life specif jaipur print cotton floral king size doubl bedsheet bed sheet pillow cover white general machin washabl yes brand jaipur print type flat model jaipur117 materi cotton thread count 140 model jaipur117 fabric care bleach size king color white warranti waranti product manufactur defect product exchang return origion pack dimens flat sheet width inch 220 sheet width pillow cover width inch pillow cover length inch weight 900 sheet depth sheet length flat sheet depth 0.2 flat sheet length 104 inch box number content sale packag sale packag bed sheet pillow cover,889,857
893aa5ed55f7cff2eccea7758d7a86bd,"Maserati Time R8851116001 Analog Watch  - For Boys - Buy Maserati Time R8851116001 Analog Watch  - For Boys  R8851116001 Online at Rs.24400 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,275,maserati time r8851116001 analog watch boy buy maserati time r8851116001 analog watch boy r8851116001 online india great discount genuine product day replacement guarantee free shipping cash delivery,maserati time r8851116001 analog watch boy buy maserati time r8851116001 analog watch boy r8851116001 onlin india great discount genuin product day replac guarante free ship cash deliveri,199,187
f355cc1ccb08bd0d283ed979b7ee7515,"Camerii WM64 Elegance Analog Watch  - For Men, Boys - Buy Camerii WM64 Elegance Analog Watch  - For Men, Boys  WM64 Online at Rs.449 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,268,camerii m64 elegance analog watch man boy buy camerii m64 elegance analog watch man boy m64 online rs.449 india great discount genuine product day replacement guarantee free shipping cash delivery,camerii m64 eleg analog watch men boy buy camerii m64 eleg analog watch men boy m64 onlin rs.449 india great discount genuin product day replac guarante free ship cash deliveri,196,176
dd0e3470a7e6ed76fd69c2da27721041,"T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys
                         Price: Rs. 399
				
			Whether you are on your way to work or travelling abroad with family, lifestyle accessories like watches, wallets and belts help to add a touch of sophistication and class to your otherwise mundane and regular daily wear. When it all comes down to it, suave leather belts and intricately designed and finished timepieces are what separate you from the rest.
Whether you are on your way to work or travelling abroad with family, lifestyle accessories like watches, wallets and belts help to add a touch of sophistication and class to your otherwise mundane and regular daily wear. When it all comes down to it, suave leather belts and intricately designed and finished timepieces are what separate you from the rest.",Watches ,817,star analog watch boy price 399 way work travel abroad family lifestyle like watch wallet belt help add touch sophistication class mundane regular daily wear come suave leather belt intricately design timepiece separate rest way work travel abroad family lifestyle like watch wallet belt help add touch sophistication class mundane regular daily wear come suave leather belt intricately design timepiece separate rest,star analog watch boy price 399 way work travel abroad famili lifestyl like watch wallet belt help add touch sophist class mundan regular daili wear come suav leather belt intric design timepiec separ rest way work travel abroad famili lifestyl like watch wallet belt help add touch sophist class mundan regular daili wear come suav leather belt intric design timepiec separ rest,417,379
41384da51732c0b4df3de8f395714fbb,"Alfajr WY16B Youth Digital Watch  - For Men, Boys - Buy Alfajr WY16B Youth Digital Watch  - For Men, Boys  WY16B Online at Rs.4995 in India Only at Flipkart.com. Azan Times ( For All Cities Around The World ), Prayer Reminders, Qibla Direction, Hijri And Gregorian Calnedars, Qur'An Bookmark, Daily Alrams - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,410,alfajr y16 youth digital watch man boy buy alfajr y16 youth digital watch man boy y16 online india azan times city world prayer reminder qibla direction daily great discount genuine product day replacement guarantee free shipping cash delivery,alfajr y16 youth digit watch men boy buy alfajr y16 youth digit watch men boy y16 onlin india azan time citi world prayer remind qibla direct daili great discount genuin product day replac guarante free ship cash deliveri,243,221
710ed5f2393a4b9e8823aa0029f71f93,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men - Buy TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men  CAU1116.BA0858 Online at Rs.107750 in India Only at Flipkart.com. Swiss-made, Quartz movement, Scratch resistant, Sapphire crystal glass, Water resistant to 200 metres, Feature Chronograph - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,430,tag heuer u1116 a0858 formula analog watch boy man buy tag heuer u1116 a0858 formula analog watch boy man u1116 a0858 online india swiss quartz movement scratch resistant crystal glass water resistant 200 metre feature chronograph great discount genuine product day replacement guarantee free shipping cash delivery,tag heuer u1116 a0858 formula analog watch boy men buy tag heuer u1116 a0858 formula analog watch boy men u1116 a0858 onlin india swiss quartz movement scratch resist crystal glass water resist 200 metr featur chronograph great discount genuin product day replac guarante free ship cash deliveri,315,295
920154acbe49d3202ed7d2ed2df1ea13,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys
                         Price: Rs. 699
				
			CALIBRO presents MTG Black Dial Round Watch. This is a fashionable watch from MTG that adds to your style statement. This brand is known for its usage of quality material in making appealing watches. It understands the needs of youth so well that it is able to present wide range of watches to its customers. The variety in design, style and youthful approach is very well executed by this brand. Get one and see how brilliantly it leads other brands in style, finish and everything else that matters.
CALIBRO presents MTG Black Dial Round Watch. This is a fashionable watch from MTG that adds to your style statement. This brand is known for its usage of quality material in making appealing watches. It understands the needs of youth so well that it is able to present wide range of watches to its customers. The variety in design, style and youthful approach is very well executed by this brand. Get one and see how brilliantly it leads other brands in style, finish and everything else that matters.",Watches ,1108,calibro analog digital watch man boys price 699 calibro present mtg black dial round watch fashionable watch mtg add style statement brand know usage quality material make appealing watch understand need youth able present wide range watch customer variety design style youthful approach execute brand brilliantly lead brand style finish matter calibro present mtg black dial round watch fashionable watch mtg add style statement brand know usage quality material make appealing watch understand need youth able present wide range watch customer variety design style youthful approach execute brand brilliantly lead brand style finish matter,calibro analog digit watch men boy price 699 calibro present mtg black dial round watch fashion watch mtg add style statement brand known usag qualiti materi make appeal watch understand need youth abl present wide rang watch custom varieti design style youth approach execut brand brilliant lead brand style finish matter calibro present mtg black dial round watch fashion watch mtg add style statement brand known usag qualiti materi make appeal watch understand need youth abl present wide rang watch custom varieti design style youth approach execut brand brilliant lead brand style finish matter,641,600
08452abdadb3db1e686b94a9c52fc7b6,"Cartier W6701005 Analog Watch  - For Boys, Men - Buy Cartier W6701005 Analog Watch  - For Boys, Men  W6701005 Online at Rs.201000 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,265,cartier w6701005 analog watch boy man buy cartier w6701005 analog watch boy man w6701005 online india great discount genuine product day replacement guarantee free shipping cash delivery,cartier w6701005 analog watch boy men buy cartier w6701005 analog watch boy men w6701005 onlin india great discount genuin product day replac guarante free ship cash deliveri,186,174
1e8741b5ae27a513546c94b3f3312aee,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men - Buy Lois Caron LCS-4032 Analog Watch  - For Boys, Men  LCS-4032 Online at Rs.399 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,268,lois caron lcs-4032 analog watch boy man buy lois caron lcs-4032 analog watch boy man lcs-4032 online rs.399 india great discount genuine product day replacement guarantee free shipping cash delivery,loi caron lcs-4032 analog watch boy men buy loi caron lcs-4032 analog watch boy men lcs-4032 onlin rs.399 india great discount genuin product day replac guarante free ship cash deliveri,199,185
189fa66a5fa6f08d2802a62ecf0be298,"Titan 1639SL03 Analog Watch  - For Boys, Men - Buy Titan 1639SL03 Analog Watch  - For Boys, Men  1639SL03 Online at Rs.1695 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,259,titan 1639s l03 analog watch boy man buy titan 1639s l03 analog watch boy man 1639s l03 online india great discount genuine product day replacement guarantee free shipping cash delivery,titan 1639s l03 analog watch boy men buy titan 1639s l03 analog watch boy men 1639s l03 onlin india great discount genuin product day replac guarante free ship cash deliveri,185,173
bbb8cdc5406ff60ff06ff64630f2ca47,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls - Buy Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls  Megnet_Led_Sport_BlackRed1 Online at Rs.200 in India Only at Flipkart.com. Led Watch, Sports Led, Megnet watch, Fresh arrival, latest, fancy, Srushti, GirlsWatch, Men, Women, Boys, Wrist Watches - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,490,srushti art jewelry megnet_ led sport black red1 digital watch men woman boys girl buy srushti art jewelry megnet_ led sport black red1 digital watch men women boy girl megnet_ led sport black red1 online india led watch sports lead watch fresh late fancy srushti girls watch men women boy wrist watch great discount genuine product day replacement guarantee free shipping cash delivery,srushti art jewelri megnet_ led sport black red1 digit watch men women boy girl buy srushti art jewelri megnet_ led sport black red1 digit watch men women boy girl megnet_ led sport black red1 onlin india led watch sport led watch fresh latest fanci srushti girl watch men women boy wrist watch great discount genuin product day replac guarante free ship cash deliveri,386,368
